Demographic,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,subgroup,data_type
TOTAL,46.5,43.9,42.6,38.8,41.1,43.5,41,45,44.7,44.6,46.7,47.5,46.9,Total,Treatment_for_Severe_Major_Depressive_Episode
Age: 12-13,44.1,42.3,38.3,33.8,28.7,42.3,32,48.5,38.7,37,37.6,46.2,47.2,Age,Treatment_for_Severe_Major_Depressive_Episode
Age: 14-15,44.8,43.2,38.6,35.6,45,41,40.5,43.2,43.4,45.4,47.5,42.3,45.6,Age,Treatment_for_Severe_Major_Depressive_Episode
Age: 16-17,48.8,44.9,46.9,43.2,42.7,45.5,45.4,45.3,48.1,47.1,49.2,52,47.8,Age,Treatment_for_Severe_Major_Depressive_Episode
Male,40.1,40.2,36.9,34,33.4,37.3,34.4,36.4,41.2,43.1,39,35.8,43.7,Gender,Treatment_for_Severe_Major_Depressive_Episode
Female,48.6,45.4,44.5,40.7,44.3,45.9,43.2,47.6,45.7,45.1,49.3,51.5,48.1,Gender,Treatment_for_Severe_Major_Depressive_Episode
Not Hispanic or Latino,48,46.8,44.9,38.7,41.1,45.2,43.9,45.6,47.3,46,48.9,51.3,48.1,Race/Ethnicity,Treatment_for_Severe_Major_Depressive_Episode
White,49.8,50.4,48.9,41.1,44.5,47.4,45.7,48.6,49.2,45,52.1,54.1,51.6,Race/Ethnicity,Treatment_for_Severe_Major_Depressive_Episode
Black or African American,35.5,37.4,38,28.9,26.9,44.6,34.4,34.9,46.9,48.8,37.1,41.6,40.1,Race/Ethnicity,Treatment_for_Severe_Major_Depressive_Episode
Hispanic or Latino,39.4,29.4,30.8,39.3,41.3,36.4,32.6,43.1,35.6,40,38.4,36.1,43.2,Race/Ethnicity,Treatment_for_Severe_Major_Depressive_Episode
